trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1101020,125,1,"Fort Street-River Rouge",,1,11241,shp-125-01,1,1
1014010,125,3,"Fort Street-River Rouge",,1,11281,shp-125-01,1,1
1130020,125,1,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1
1314010,125,3,"Fort Street-River Rouge",,1,11291,shp-125-01,1,1
1394070,125,2,"Fort Street-River Rouge",,1,11291,shp-125-01,1,1
143070,125,2,"Fort Street-River Rouge",,1,11281,shp-125-01,1,1
1443070,125,2,"Fort Street-River Rouge",,1,11271,shp-125-01,1,1
1349070,125,2,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1
1846010,125,3,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1
1035020,125,1,"Fort Street-River Rouge",,1,11341,shp-125-01,1,1
1840010,125,3,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1
1829020,125,1,"Fort Street-River Rouge",,1,11241,shp-125-01,1,1
217020,125,1,"Fort Street-River Rouge",,1,11231,shp-125-01,1,1
1492020,125,1,"Fort Street-River Rouge",,1,11301,shp-125-01,1,1
2020010,125,3,"Fort Street-River Rouge",,1,11291,shp-125-01,1,1
24020,125,1,"Fort Street-River Rouge",,1,11241,shp-125-01,1,1
1464020,125,1,"Fort Street-River Rouge",,1,11311,shp-125-01,1,1
2329020,125,1,"Fort Street-River Rouge",,1,11211,shp-125-01,1,1
2433020,125,1,"Fort Street-River Rouge",,1,11281,shp-125-01,1,1
2260010,125,3,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1
214010,125,3,"Fort Street-River Rouge",,1,11301,shp-125-01,1,1
1849010,125,3,"Fort Street-River Rouge",,1,11281,shp-125-01,1,1
2541010,125,3,"Fort Street-River Rouge",,1,11301,shp-125-01,1,1
1986010,125,3,"Fort Street-River Rouge",,1,11271,shp-125-01,1,1
2066070,125,2,"Fort Street-River Rouge",,1,11301,shp-125-01,1,1
2518070,125,2,"Fort Street-River Rouge",,1,11291,shp-125-01,1,1
1925070,125,2,"Fort Street-River Rouge",,1,11281,shp-125-01,1,1
2800010,125,3,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1
2784020,125,1,"Fort Street-River Rouge",,1,11321,shp-125-01,1,1
216020,125,1,"Fort Street-River Rouge",,1,11311,shp-125-01,1,1
2824010,125,3,"Fort Street-River Rouge",,1,11291,shp-125-01,1,1
2340020,125,1,"Fort Street-River Rouge",,1,11331,shp-125-01,1,1
1052020,125,1,"Fort Street-River Rouge",,1,11301,shp-125-01,1,1
317020,125,1,"Fort Street-River Rouge",,1,11341,shp-125-01,1,1
2519020,125,1,"Fort Street-River Rouge",,1,11221,shp-125-01,1,1
2977010,125,3,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1
3238020,125,1,"Fort Street-River Rouge",,1,11321,shp-125-01,1,1
2403070,125,2,"Fort Street-River Rouge",,1,11271,shp-125-01,1,1
2418070,125,2,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1
3368020,125,1,"Fort Street-River Rouge",,1,11271,shp-125-01,1,1
2647020,125,1,"Fort Street-River Rouge",,1,11231,shp-125-01,1,1
3028010,125,3,"Fort Street-River Rouge",,1,11281,shp-125-01,1,1
312020,125,1,"Fort Street-River Rouge",,1,11211,shp-125-01,1,1
3121070,125,2,"Fort Street-River Rouge",,1,11271,shp-125-01,1,1
3123070,125,2,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1
3158020,125,1,"Fort Street-River Rouge",,1,11291,shp-125-01,1,1
3218020,125,1,"Fort Street-River Rouge",,1,11211,shp-125-01,1,1
2866010,125,3,"Fort Street-River Rouge",,1,11271,shp-125-01,1,1
5020,125,1,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1
845020,125,1,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1
608020,125,1,"Fort Street-River Rouge",,1,11271,shp-125-01,1,1
501020,125,1,"Fort Street-River Rouge",,1,11301,shp-125-01,1,1
567020,125,1,"Fort Street-River Rouge",,1,11201,shp-125-01,1,1
3071070,125,2,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1
823020,125,1,"Fort Street-River Rouge",,1,11231,shp-125-01,1,1
831020,125,1,"Fort Street-River Rouge",,1,11351,shp-125-01,1,1
804070,125,2,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1
55020,125,1,"Fort Street-River Rouge",,1,11331,shp-125-01,1,1
794020,125,1,"Fort Street-River Rouge",,1,11341,shp-125-01,1,1
853020,125,1,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1
769070,125,2,"Fort Street-River Rouge",,1,11291,shp-125-01,1,1
813070,125,2,"Fort Street-River Rouge",,1,11251,shp-125-01,1,1
1242070,125,2,"Fort Street-River Rouge",,1,11281,shp-125-01,1,1
1288070,125,2,"Fort Street-River Rouge",,1,11301,shp-125-01,1,1
1620020,125,1,"Fort Street-River Rouge",,1,11351,shp-125-01,1,1
1996010,125,3,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1
2040020,125,1,"Fort Street-River Rouge",,1,11261,shp-125-01,1,1
2157020,125,1,"Fort Street-River Rouge",,1,11321,shp-125-01,1,1
815070,125,2,"Fort Street-River Rouge",,1,11301,shp-125-01,1,1
